SP,PG,PROK_GROUP_ID,WEIGHT_PG,TAXON_ID
  0      ,5        ,91       ,0.5000000, 228908  
  0      ,7        ,93       ,0.5000000, 228908  
  1      ,6        ,92       ,0.5000000, 374847  
  1      ,7        ,93       ,0.5000000, 374847  
  2      ,5        ,91       ,0.5000000, 272557  
  2      ,7        ,93       ,0.5000000, 272557  
  3      ,6        ,92       ,0.5000000, 273057  
  3      ,7        ,93       ,0.5000000, 273057  
  4      ,6        ,92       ,1.0000000, 768679  
  5      ,5        ,91       ,0.5000000, 188937  
  5      ,7        ,93       ,0.5000000, 188937  
  6      ,6        ,92       ,0.5000000, 362976  
  6      ,7        ,93       ,0.5000000, 362976  
  7      ,6        ,92       ,1.0000000, 309800  
  8      ,6        ,92       ,1.0000000, 348780  
  9      ,5        ,91       ,0.5000000, 634497  
  9      ,7        ,93       ,0.5000000, 634497  
 10      ,5        ,91       ,1.0000000, 272569  
 11      ,5        ,91       ,1.0000000, 243090  
 12      ,0        ,86       ,1.0000000, 190304  
 13      ,4        ,90       ,0.3333333, 240015  
 13      ,6        ,92       ,0.3333333, 240015  
 13      ,7        ,93       ,0.3333333, 240015  
 14      ,2        ,88       ,0.3333333, 743525  
 14      ,4        ,90       ,0.3333333, 743525  
 14      ,6        ,92       ,0.3333333, 743525  
 15      ,5        ,91       ,0.5000000, 224324  
 15      ,7        ,93       ,0.5000000, 224324  
 16      ,6        ,92       ,1.0000000, 484019  
 17      ,4        ,90       ,0.5000000, 255470  
 17      ,6        ,92       ,0.5000000, 255470  
 18      ,6        ,92       ,1.0000000, 311424  
 19      ,6        ,92       ,1.0000000, 330214  
 20      ,6        ,92       ,0.5000000, 379066  
 20      ,7        ,93       ,0.5000000, 379066  
 21      ,1        ,87       ,0.3333333, 267671  
 21      ,4        ,90       ,0.3333333, 267671  
 21      ,6        ,92       ,0.3333333, 267671  
 22      ,3        ,89       ,1.0000000, 759914  
 23      ,3        ,89       ,1.0000000, 565034  
 24      ,5        ,91       ,1.0000000, 167539  
 25      ,6        ,92       ,1.0000000,   1148  
 26      ,5        ,91       ,1.0000000,  43989  
 27      ,6        ,92       ,0.5000000, 481448  
 27      ,7        ,93       ,0.5000000, 481448  
 28      ,3        ,89       ,1.0000000, 716544  
 29      ,1        ,87       ,1.0000000, 765952  
 30      ,6        ,92       ,1.0000000, 194439  
 31      ,4        ,90       ,0.3333333, 269798  
 31      ,5        ,91       ,0.3333333, 269798  
 31      ,6        ,92       ,0.3333333, 269798  
 32      ,5        ,91       ,1.0000000, 411154  
 33      ,3        ,89       ,0.5000000, 402612  
 33      ,6        ,92       ,0.5000000, 402612  
 34      ,6        ,92       ,1.0000000,1034807  
 35      ,4        ,90       ,1.0000000, 405948  
 36      ,4        ,90       ,1.0000000, 227882  
 37      ,1        ,87       ,1.0000000, 216594  
 38      ,1        ,87       ,1.0000000,1048245  
 39      ,1        ,87       ,1.0000000, 572418  
 40      ,1        ,87       ,1.0000000, 419947  
 41      ,1        ,87       ,1.0000000,  83332  
 42      ,1        ,87       ,0.5000000, 233413  
 42      ,3        ,89       ,0.5000000, 233413  
 43      ,3        ,89       ,1.0000000, 410289  
 44      ,1        ,87       ,1.0000000, 561275  
 45      ,4        ,90       ,1.0000000, 991791  
 46      ,5        ,91       ,1.0000000, 208596  
 47      ,2        ,88       ,1.0000000, 684738  
 48      ,3        ,89       ,1.0000000, 272623  
 49      ,0        ,86       ,1.0000000, 543734  
 50      ,0        ,86       ,0.5000000, 568704  
 50      ,3        ,89       ,0.5000000, 568704  
 51      ,0        ,86       ,1.0000000, 568703  
 52      ,4        ,90       ,1.0000000, 358681  
 53      ,4        ,90       ,1.0000000, 398511  
 54      ,4        ,90       ,1.0000000, 315750  
 55      ,4        ,90       ,1.0000000, 592022  
 56      ,4        ,90       ,1.0000000, 545693  
 57      ,1        ,87       ,0.5000000, 281309  
 57      ,4        ,90       ,0.5000000, 281309  
 58      ,1        ,87       ,0.3333333, 288681  
 58      ,3        ,89       ,0.3333333, 288681  
 58      ,4        ,90       ,0.3333333, 288681  
 59      ,1        ,87       ,0.5000000, 637380  
 59      ,4        ,90       ,0.5000000, 637380  
 60      ,4        ,90       ,1.0000000, 361100  
 61      ,0        ,86       ,0.5000000, 279010  
 61      ,4        ,90       ,0.5000000, 279010  
 62      ,4        ,90       ,1.0000000, 224308  
 63      ,4        ,90       ,1.0000000, 655816  
 64      ,4        ,90       ,1.0000000, 326423  
 65      ,4        ,90       ,1.0000000, 692420  
 66      ,5        ,91       ,1.0000000, 177437  
 67      ,4        ,90       ,1.0000000, 448385  
 68      ,4        ,90       ,0.5000000, 404380  
 68      ,6        ,92       ,0.5000000, 404380  
 69      ,3        ,89       ,1.0000000, 273121  
 70      ,3        ,89       ,1.0000000, 382638  
 71      ,0        ,86       ,1.0000000, 693745  
 72      ,2        ,88       ,1.0000000,  62928  
 73      ,4        ,90       ,0.5000000, 266264  
 73      ,6        ,92       ,0.5000000, 266264  
 74      ,4        ,90       ,0.5000000,1042878  
 74      ,6        ,92       ,0.5000000,1042878  
 75      ,4        ,90       ,0.5000000, 381666  
 75      ,6        ,92       ,0.5000000, 381666  
 76      ,6        ,92       ,1.0000000, 375286  
 77      ,2        ,88       ,0.5000000, 757424  
 77      ,4        ,90       ,0.5000000, 757424  
 78      ,4        ,90       ,1.0000000,1005048  
 79      ,4        ,90       ,0.5000000, 452662  
 79      ,7        ,93       ,0.5000000, 452662  
 80      ,4        ,90       ,1.0000000, 272942  
 81      ,6        ,92       ,1.0000000, 375451  
 82      ,2        ,88       ,1.0000000, 272568  
 83      ,6        ,92       ,1.0000000, 414684  
 84      ,4        ,90       ,0.5000000, 258594  
 84      ,6        ,92       ,0.5000000, 258594  
 85      ,2        ,88       ,1.0000000, 224911  
 86      ,2        ,88       ,0.5000000, 288000  
 86      ,4        ,90       ,0.5000000, 288000  
 87      ,1        ,87       ,0.5000000, 311403  
 87      ,2        ,88       ,0.5000000, 311403  
 88      ,2        ,88       ,1.0000000, 347834  
 89      ,2        ,88       ,1.0000000, 491916  
 90      ,2        ,88       ,1.0000000, 706191  
 91      ,1        ,87       ,0.3333333, 321314  
 91      ,4        ,90       ,0.3333333, 321314  
 91      ,6        ,92       ,0.3333333, 321314  
 92      ,0        ,86       ,1.0000000, 585035  
 93      ,0        ,86       ,1.0000000, 585395  
 94      ,0        ,86       ,1.0000000, 585055  
 95      ,0        ,86       ,1.0000000, 573235  
 96      ,0        ,86       ,1.0000000, 585397  
 97      ,0        ,86       ,1.0000000, 585034  
 98      ,0        ,86       ,1.0000000, 405955  
 99      ,0        ,86       ,1.0000000, 364106  
100      ,0        ,86       ,1.0000000, 585056  
101      ,0        ,86       ,1.0000000, 544404  
102      ,0        ,86       ,1.0000000, 585396  
103      ,0        ,86       ,1.0000000, 199310  
104      ,0        ,86       ,1.0000000, 701177  
105      ,0        ,86       ,1.0000000, 413997  
106      ,0        ,86       ,0.5000000, 585057  
106      ,1        ,87       ,0.5000000, 585057  
107      ,0        ,86       ,1.0000000, 574521  
108      ,0        ,86       ,1.0000000, 511145  
109      ,0        ,86       ,1.0000000, 316385  
110      ,0        ,86       ,1.0000000, 595496  
